ВУЗ,Направление_подготовки_1,Направление_подготовки_2,Форма,Программа,Бюджетные,Платные,Год,Стоимость,Балл_Б,Балл_П,Балл_макс,Факультет,Название программы,Ссылка,ЦП,Предмет1,Предмет2,Макс_балл
МФТИ,01.04.02,Прикладная математика и информатика,Очная,Прикладная математика и информатика,25,10,2.0,502000,10,10,40.0,,,,,,,
МФТИ,01.04.02,Прикладная математика и информатика,Очная,Современная комбинаторика,0,20,2.0,502000,10,10,40.0,,,,,,,
МФТИ,01.04.02,Прикладная математика и информатика,Очная,Цифровая экономика,0,20,2.0,502000,10,10,40.0,,,,,,,
МФТИ,01.04.02,Прикладная математика и информатика,Очная,Advanced Combinatorics,0,5,2.0,502000,10,10,40.0,,,,,,,
МФТИ,01.04.02,Прикладная математика и информатика,Очная,Contemporary Сombinatorics,0,10,2.0,502000,10,10,40.0,,,,,,,
МФТИ,01.04.02,Прикладная математика и информатика,Очная,Modern state of Artificial Intelligence,0,15,2.0,502000,10,10,40.0,,,,,,,
МФТИ,01.04.02,Прикладная математика и информатика,Очная,Науки о данных,0,80,2.0,502000,10,10,40.0,,,,,,,
МФТИ,03.04.01,Прикладные математика и физика,Очная,Радиотехника и компьютерные технологии,98,5,2.0,528000,10,10,40.0,,,,,,,
МФТИ,03.04.01,Прикладные математика и физика,Очная,ЛФИ Математика и физика,135,2,2.0,528000,10,10,40.0,,,,,,,
МФТИ,03.04.01,Прикладные математика и физика,Очная,Вычислительная биоинформатика,0,5,2.0,528000,10,10,40.0,,,,,,,
МФТИ,03.04.01,Прикладные математика и физика,Очная,Integrated Structural Biology and Genetics,10,1,2.0,528000,10,10,40.0,,,,,,,
МФТИ,03.04.01,Прикладные математика и физика,Очная,Аэрокосмические технологии,72,4,2.0,528000,10,10,40.0,,,,,,,
МФТИ,03.04.01,Прикладные математика и физика,Очная,Beam-Plasma Systems and Technologies,0,8,2.0,528000,10,10,40.0,,,,,,,
МФТИ,03.04.01,Прикладные математика и физика,Очная,Физика перспективных технологий,83,5,2.0,528000,10,10,40.0,,,,,,,
МФТИ,03.04.01,Прикладные математика и физика,Очная,Биофизика и биоинформатика,34,5,2.0,528000,10,10,40.0,,,,,,,
